Date,Description,Debit Amt,Credit Amt,Balance
18-06-2025,Interest Credit Saving Account,,4805.82,2101.26
21-06-2025,Electricity Bill NEFT Online,,395.05,2496.31
26-06-2025,Online Card Purchase Flipkart,,1263.09,3759.4
27-06-2025,ATM Cash Withdrawal India,4944.55,,-1185.15
30-06-2025,Interest Credit Saving Account,150.91,,-1336.06
05-07-2025,IMPS UPI Payment Amazon,,4883.29,3547.23
06-07-2025,Interest Credit Saving Account,1248.14,,2299.09
08-07-2025,Online Card Purchase Flipkart,4029.62,,-1730.53
14-07-2025,Mobile Recharge Via UPI,380.91,,-2111.44
16-07-2025,ATM Cash Withdrawal India,,4630.04,2518.6
19-07-2025,NEFT Transfer From PQR Pvt,1581.69,,936.91
20-07-2025,Utility Bill Payment Electricity,,2989.23,3926.14
23-07-2025,Salary Credit XYZ Pvt Ltd,,2988.46,6914.6
24-07-2025,Electricity Bill NEFT Online,2917.52,,3997.08
25-07-2025,Salary Credit XYZ Pvt Ltd,566.32,,3430.76
27-07-2025,ATM Cash Withdrawal India,,2156.01,5586.77
